                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77684,                0.50688,                 1.0449,                0.97502,                0.95704,                 0.9668,                0.75062,                0.79024,                0.49114,                0.93926,              0.0096535,              0.0096535,              0.0096535
                     37,                0.78859,                0.50806,                 1.0496,                0.97901,                0.95871,                0.97098,                0.74917,                0.74438,                0.47335,                0.93944,              0.0096436,              0.0096436,              0.0096436
                     38,                0.79792,                0.52461,                 1.0532,                0.97546,                0.94514,                0.97207,                0.75325,                0.76072,                0.49234,                0.92475,              0.0096337,              0.0096337,              0.0096337
                     39,                0.77452,                 0.4942,                 1.0449,                0.98056,                0.94471,                 0.9759,                0.76337,                0.70496,                0.44222,                0.89855,              0.0096238,              0.0096238,              0.0096238
                     40,                0.77221,                0.51927,                 1.0443,                 0.9521,                0.95051,                0.96528,                0.75757,                0.72106,                0.45178,                  0.906,              0.0096139,              0.0096139,              0.0096139
                     41,                0.78371,                0.50586,                 1.0382,                0.96871,                0.94727,                0.96961,                0.75303,                0.72586,                0.45351,                0.91097,               0.009604,               0.009604,               0.009604
                     42,                0.78454,                0.49137,                 1.0576,                0.97651,                0.95876,                0.97423,                0.76128,                0.73327,                0.45259,                0.93889,              0.0095941,              0.0095941,              0.0095941
                     43,                0.77178,                0.49026,                 1.0362,                0.97794,                0.95464,                0.97575,                0.75534,                0.76455,                0.46967,                0.94421,              0.0095842,              0.0095842,              0.0095842
                     44,                0.74059,                 0.4853,                 1.0309,                0.96982,                0.95191,                0.97013,                0.76741,                0.74843,                0.45316,                0.94634,              0.0095743,              0.0095743,              0.0095743
                     45,                0.78341,                  0.509,                 1.0614,                0.98694,                0.95011,                0.97373,                0.75859,                0.72207,                0.44687,                0.91093,              0.0095644,              0.0095644,              0.0095644
                     46,                 0.7638,                0.49435,                 1.0345,                0.97178,                0.94107,                0.97016,                0.77026,                0.68239,                0.44803,                 0.8881,              0.0095545,              0.0095545,              0.0095545
                     47,                0.74976,                0.47698,                 1.0281,                0.98165,                0.95954,                0.97105,                 0.7648,                0.70676,                 0.4332,                0.90804,              0.0095446,              0.0095446,              0.0095446
                     48,                0.75469,                0.48164,                 1.0355,                0.97451,                0.95473,                 0.9732,                0.76698,                0.73148,                 0.4394,                0.91128,              0.0095347,              0.0095347,              0.0095347
                     49,                 0.7387,                0.47325,                 1.0291,                0.97859,                0.96006,                 0.9746,                0.76666,                0.72576,                 0.4293,                0.92998,              0.0095248,              0.0095248,              0.0095248
                     50,                0.74815,                0.47669,                 1.0383,                0.96138,                0.95864,                0.97589,                 0.7664,                0.71064,                0.44431,                0.88672,              0.0095149,              0.0095149,              0.0095149
                     51,                0.75474,                0.48487,                 1.0272,                0.97825,                0.95162,                0.97205,                0.77387,                0.70878,                0.44125,                0.90364,               0.009505,               0.009505,               0.009505
                     52,                0.74744,                0.47438,                 1.0401,                0.98023,                0.95323,                0.97198,                0.76764,                0.69169,                0.43611,                0.89356,              0.0094951,              0.0094951,              0.0094951
                     53,                0.75496,                0.47518,                 1.0441,                0.97028,                0.94207,                0.96961,                 0.7497,                0.70925,                0.43572,                0.91061,              0.0094852,              0.0094852,              0.0094852
                     54,                0.74245,                0.48055,                 1.0141,                0.95687,                0.95326,                0.97128,                0.76599,                0.70538,                 0.4282,                0.90781,              0.0094753,              0.0094753,              0.0094753
                     55,                0.75157,                0.46854,                 1.0415,                0.97397,                0.94141,                0.96886,                0.76778,                0.71071,                0.45376,                0.90055,              0.0094654,              0.0094654,              0.0094654
                     56,                0.73897,                0.47702,                 1.0272,                 0.9777,                0.95667,                 0.9756,                0.77461,                0.69134,                0.44415,                0.89237,              0.0094555,              0.0094555,              0.0094555
                     57,                0.72575,                0.45254,                 1.0177,                0.97516,                0.97029,                0.98034,                 0.7863,                0.69129,                0.41026,                0.89501,              0.0094456,              0.0094456,              0.0094456
                     58,                0.72243,                0.46016,                 1.0261,                0.96983,                0.96615,                 0.9768,                0.77008,                 0.6945,                0.40919,                0.90979,              0.0094357,              0.0094357,              0.0094357
                     59,                0.71021,                0.44493,                 1.0094,                0.98201,                0.95953,                0.97726,                0.77258,                0.68647,                0.41753,                0.89064,              0.0094258,              0.0094258,              0.0094258
                     60,                0.72758,                0.44525,                 1.0173,                0.97994,                0.95761,                0.97448,                0.76978,                0.71649,                0.41821,                0.91235,              0.0094159,              0.0094159,              0.0094159
                     61,                 0.7368,                 0.4509,                 1.0224,                0.96673,                0.95188,                0.97719,                0.77113,                0.71294,                0.43107,                0.90257,               0.009406,               0.009406,               0.009406
                     62,                  0.701,                0.45061,                 1.0113,                0.97604,                0.95029,                0.97515,                0.77605,                 0.6906,                0.42481,                0.88922,              0.0093961,              0.0093961,              0.0093961
                     63,                0.72519,                0.45215,                 1.0149,                0.96604,                0.95204,                0.97495,                0.78417,                0.68331,                0.42827,                0.90307,              0.0093862,              0.0093862,              0.0093862
                     64,                0.72636,                0.46633,                 1.0123,                0.97124,                0.96648,                0.97499,                0.78319,                0.70191,                0.42062,                0.89686,              0.0093763,              0.0093763,              0.0093763
                     65,                0.72397,                0.46495,                 1.0234,                0.96754,                0.96232,                0.97695,                0.78892,                0.68372,                0.42753,                0.88775,              0.0093664,              0.0093664,              0.0093664
                     66,                0.73636,                 0.4638,                 1.0341,                0.97611,                0.95471,                0.97377,                0.78327,                0.67992,                0.42216,                 0.8909,              0.0093565,              0.0093565,              0.0093565
                     67,                0.73691,                0.44845,                 1.0221,                0.95677,                0.96515,                0.97198,                0.78311,                0.71573,                0.43325,                0.90038,              0.0093466,              0.0093466,              0.0093466
                     68,                0.72263,                0.44334,                 1.0111,                0.97324,                0.96215,                 0.9744,                0.78944,                 0.6855,                0.42329,                0.90395,              0.0093367,              0.0093367,              0.0093367
                     69,                 0.7365,                0.45552,                 1.0224,                0.97264,                0.96068,                0.97784,                0.79747,                0.66041,                0.41411,                0.87988,              0.0093268,              0.0093268,              0.0093268
                     70,                0.70728,                0.43007,                  1.014,                0.98345,                0.95861,                0.97914,                0.78967,                0.68212,                0.40896,                0.89757,              0.0093169,              0.0093169,              0.0093169
                     71,                0.70476,                0.43816,                 1.0211,                0.97993,                0.95539,                0.97572,                 0.7792,                0.69626,                 0.4057,                0.91157,               0.009307,               0.009307,               0.009307
                     72,                0.71466,                0.43069,                 1.0115,                0.97074,                0.95867,                0.97612,                0.78769,                0.66892,                0.41415,                0.89607,              0.0092971,              0.0092971,              0.0092971
                     73,                0.70205,                 0.4462,                 1.0137,                0.96899,                0.95685,                0.97424,                0.77915,                0.70291,                0.42096,                0.93539,              0.0092872,              0.0092872,              0.0092872
                     74,                 0.7041,                0.42751,                 1.0072,                 0.9808,                0.96123,                0.97678,                0.79171,                0.68882,                0.40827,                0.89911,              0.0092773,              0.0092773,              0.0092773
